Name,_RA,_DE,Vmag,e_Vmag,plx,e_plx,r_plx,Bin,SNR,Teff,e_Teff,logg,e_logg,__Fe_H_,e__Fe_H_,Xi,e_Xi,__CI_H_,__CH_H_,__OI_H_,__NaI_H_,__MgI_H_,__AlI_H_,__SiI_H_,__SI_H_,__CaI_H_,__ScI_H_,__ScII_H_,__TiI_H_,__TiII_H_,__VI_H_,__CrI_H_,__CrII_H_,__MnI_H_,__CoI_H_,__NiI_H_,__CuI_H_,__ZnI_H_,Agemp,AgeLL1s,AgeUL1s,AgeLL2s,AgeUL2s,Agemean,Agestd,Massmp,MassLL1s,MassUL1s,MassLL2s,MassUL2s,MassMean,MassStd,__SrI_H_,e__SrI_H_,__YII_H_,e__YII_H_,__ZrII_H_,e__ZrII_H_,__BaII_H_,e__BaII_H_,__LaII_H_,e__LaII_H_,__CeII_H_,e__CeII_H_,__PrII_H_,e__PrII_H_,__NdII_H_,e__NdII_H_,__SmII_H_,e__SmII_H_,__EuII_H_,e__EuII_H_,__GdII_H_,e__GdII_H_,__DyII_H_,e__DyII_H_
HIP41317,126.45632,-29.93059,7.79,0.007,25.59,0.22,Gaia,no,1000,5706,3,4.385,0.01,-0.081,0.003,0.99,0.01,-0.092,-0.139,-0.028,-0.105,-0.024,-0.012,-0.059,-0.079,-0.043,-0.052,-0.042,-0.03,-0.042,-0.059,-0.082,-0.08,-0.112,-0.074,-0.093,-0.076,-0.089,7.7,7.4,8,7.2,8.2,7.7,0.3,0.96,0.953,0.974,0.95,0.979,0.96,0.002,-0.158,0.004,-0.159,0.007,-0.124,0.015,-0.115,0.006,-0.089,0.011,-0.083,0.011,-0.02,0.01,-0.062,0.009,-0.062,0.005,-0.029,0.005,-0.035,0.005,-0.042,0.009
HIP42333,129.45956,-6.80688,6.738,0.008,40.95,0.33,Gaia,no,1000,5846,8,4.5,0.016,0.132,0.006,1.11,0.01,-0.026,0.038,0.057,0.078,0.085,0.09,0.092,0.049,0.148,0.117,0.087,0.127,0.1,0.127,0.148,0.138,0.117,0.077,0.089,0.053,0.081,1,0.6,1.7,0.3,2.2,1.2,0.5,1.07,1.062,1.086,1.052,1.081,1.069,0.006,0.259,0.009,0.222,0.011,0.215,0.01,0.288,0.011,0.213,0.011,0.199,0.016,0.234,0.011,0.196,0.017,0.12,0.022,0.185,0.014,0.111,0.014,0.17,0.009
HIP43297,132.3022,3.48476,7.44,0.008,32.87,0.31,Gaia,no,1000,5705,4,4.505,0.009,0.082,0.003,1,0.01,-0.056,-0.002,0.027,0.017,0.062,0.057,0.051,0.036,0.094,0.058,0.042,0.093,0.071,0.091,0.098,0.091,0.065,0.043,0.048,0.017,0.034,1.8,1.4,2.3,0.4,2.8,1.9,0.5,1.01,1.003,1.019,1,1.036,1.014,0.005,0.191,0.007,0.169,0.007,0.176,0.012,0.2,0.006,0.144,0.004,0.165,0.017,0.147,0.008,0.176,0.014,0.145,0.012,0.121,0.007,0.125,0.004,0.142,0.012
HIP44713,136.6618,-43.49198,7.303,0.008,26.03,0.23,Gaia,no,1500,5759,3,4.28,0.01,0.063,0.004,1.09,0.01,0.065,0.061,0.086,0.028,0.093,0.109,0.07,0.089,0.073,0.053,0.084,0.078,0.082,0.062,0.066,0.07,0.042,0.049,0.045,0.081,0.078,7.7,7.4,8,7.2,8.3,7.8,0.3,1.03,1.022,1.047,1.014,1.058,1.029,0.003,-0.047,0.004,-0.039,0.008,-0.024,0.008,0.04,0.006,0.038,0.022,0.057,0.013,0.093,0.008,0.076,0.013,0.068,0.009,0.074,0.013,0.081,0.005,0.071,0.006
HIP44935,137.2932,10.8217,8.71,0.016,15.14,0.27,Gaia,no,600,5771,4,4.37,0.012,0.038,0.004,1.04,0.01,0.037,0.007,0.043,0.069,0.067,0.086,0.056,0.045,0.045,0.049,0.095,0.058,0.063,0.054,0.041,0.04,0.044,0.056,0.052,0.076,0.057,6.6,6.2,6.9,5.8,7.2,6.5,0.3,1.01,1.003,1.024,0.996,1.029,1.009,0.003,0.007,0.005,-0.013,0.008,-0.002,0.014,0.001,0.007,0.002,0.022,0.013,0.013,0.161,0.009,0.04,0.008,0.029,0.025,0.1,0.014,0.073,0.005,0.038,0.038
HIP44997,137.47441,14.45676,8.321,0.01,19.9,1.12,Hipparcos,no,800,5728,3,4.41,0.011,-0.012,0.003,0.96,0.01,-0.06,-0.055,0.032,-0.036,-0.024,-0.017,-0.025,-0.027,-0.003,0.001,-0.029,-0.011,-0.022,-0.022,-0.009,-0.015,-0.011,-0.035,-0.016,-0.037,-0.06,6.6,6.2,7,5.8,7.5,6.6,0.4,0.97,0.963,0.984,0.96,0.989,0.97,0.001,0.009,0.005,-0.001,0.009,0.007,0.012,-0.019,0.009,-0.002,0.012,-0.007,0.014,0.06,0.008,0.002,0.011,0.026,0.012,0.054,0.01,-0.054,0.005,-0.023,0.016
HIP4909,15.73925,-9.86124,8.534,0.017,19.14,0.31,Gaia,no,500,5861,7,4.5,0.016,0.048,0.006,1.11,0.01,-0.113,-0.038,0.015,-0.038,-0.005,-0.034,0.002,-0.047,0.06,0.048,-0.019,0.035,0.008,0.02,0.058,0.045,-0.003,-0.024,-0.019,-0.076,-0.035,0,0,0,0,0,0.6,0.4,1.06,1.051,1.077,1.042,1.088,1.055,0.005,0.17,0.008,0.138,0.011,0.124,0.013,0.253,0.007,0.205,0.009,0.186,0.017,0.177,0.015,0.219,0.012,0.102,0.034,0.099,0.013,0.118,0.011,0.106,0.047
HIP49756,152.34762,2.37108,7.543,0.012,27.96,0.24,Gaia,no,1000,5789,3,4.435,0.009,0.023,0.003,1.03,0.01,0.035,0.009,0.023,0.034,0.034,0.031,0.029,0.024,0.031,0.032,0.045,0.034,0.035,0.036,0.027,0.029,0.029,0.036,0.027,0.027,0.007,4.5,4.1,4.8,3.6,5.2,4.5,0.4,1.01,1.003,1.026,1,1.037,1.01,0.002,0.049,0.005,0.032,0.006,0.049,0.009,0.02,0.01,0.02,0.023,0.041,0.014,0.03,0.015,0.056,0.006,0.047,0.004,0.089,0.015,0.044,0.005,0.034,0.025
HIP5301,16.95276,-8.2337,8.449,0.012,19.74,0.41,Gaia,no,300,5723,3,4.395,0.011,-0.074,0.003,0.98,0.01,-0.084,-0.112,-0.045,-0.077,-0.053,-0.063,-0.077,-0.034,-0.061,-0.075,-0.071,-0.067,-0.075,-0.085,-0.074,-0.069,-0.092,-0.089,-0.084,-0.08,-0.093,7.3,6.8,7.7,6.3,7.9,7.2,0.4,0.96,0.953,0.974,0.95,0.979,0.96,0.001,-0.093,0.004,-0.095,0.008,-0.076,0.006,-0.075,0.01,-0.006,0.037,-0.052,0.014,0.094,0.015,-0.041,0.015,-0.065,0.022,0.02,0.011,-0.118,0.008,0.033,0.042
HIP54102,166.05688,-57.76513,8.67,0.014,18.82,0.24,Gaia,Spectroscopic,500,5845,6,4.51,0.01,0.011,0.005,1.06,0.01,-0.067,-0.047,-0.011,-0.074,-0.027,-0.048,-0.018,-0.024,0.029,0.006,-0.037,0.013,-0.006,0.002,0.022,0.018,-0.023,-0.042,-0.041,-0.081,-0.075,0.7,0.3,1.1,0.1,1.6,0.7,0.4,1.05,1.042,1.064,1.032,1.069,1.047,0.005,0.104,0.007,0.093,0.012,0.105,0.012,0.166,0.008,0.115,0.025,0.153,0.012,0.203,0.009,0.176,0.009,0.106,0.027,0.115,0.012,0.096,0.006,0.074,0.007
HIP54287,166.58227,-44.37332,7.223,0.008,30.91,0.28,Gaia,no,1600,5714,4,4.34,0.012,0.107,0.004,0.99,0.01,0.067,0.06,0.092,0.119,0.147,0.169,0.122,0.095,0.121,0.118,0.156,0.133,0.13,0.129,0.113,0.112,0.112,0.127,0.13,0.147,0.1,6.5,6.1,6.8,5.8,7.1,6.5,0.3,1.02,1.013,1.031,1.01,1.046,1.024,0.005,0.093,0.006,0.077,0.008,0.069,0.013,0.062,0.008,0.051,0.033,0.061,0.018,0.12,0.011,0.066,0.01,0.076,0.011,0.101,0.005,0.109,0.006,0.072,0.019
HIP54582,167.5556,-7.3894,6.808,0.008,30.61,0.39,Gaia,Spectroscopic,1400,5883,5,4.28,0.014,-0.096,0.004,1.2,0.01,-0.075,-0.128,-0.052,-0.126,-0.045,-0.067,-0.071,-0.097,-0.068,-0.068,-0.056,-0.072,-0.058,-0.094,-0.111,-0.094,-0.158,-0.096,-0.119,-0.095,-0.137,6.9,6.6,7.2,6.3,7.5,6.9,0.3,1.03,1.023,1.038,1.02,1.056,1.034,0.005,-0.194,0.005,-0.214,0.01,-0.167,0.015,-0.12,0.009,-0.103,0.033,-0.072,0.02,0.034,0.01,-0.033,0.01,-0.042,0.013,-0.005,0.013,-0.054,0.006,-0.015,0.043
HIP62039,190.74719,-4.04933,7.817,0.009,21.45,0.82,Hipparcos,Spectroscopic,800,5742,3,4.34,0.01,0.104,0.003,1.02,0.01,0.094,0.079,0.132,0.122,0.143,0.153,0.116,0.131,0.107,0.108,0.152,0.128,0.134,0.116,0.106,0.116,0.105,0.116,0.12,0.151,0.152,6.2,5.9,6.6,5.6,6.9,6.2,0.3,1.04,1.033,1.056,1.03,1.067,1.04,0.002,0.045,0.005,0.045,0.008,0.046,0.016,0.06,0.007,0.044,0.026,0.072,0.016,0.129,0.019,0.08,0.01,0.089,0.018,0.138,0.006,0.119,0.005,0.104,0.01
HIP6407,20.57801,3.51313,8.574,0.014,15.97,0.84,Gaia,Spectroscopic,300,5775,7,4.505,0.013,-0.058,0.006,0.98,0.01,-0.067,-0.087,-0.036,-0.11,-0.072,-0.087,-0.079,0,-0.038,-0.036,-0.082,-0.047,-0.062,-0.054,-0.052,-0.046,-0.097,-0.083,-0.1,-0.118,-0.104,1.9,1.2,2.6,0.7,3.3,1.9,0.7,1,0.993,1.012,0.99,1.026,1.004,0.005,0.012,0.008,0.006,0.009,0.054,0.012,0.068,0.01,0.082,0.067,0.093,0.016,0.159,0.021,0.087,0.011,0.006,0.032,0.068,0.012,0.012,0.007,0.057,0.072
HIP64150,197.2126,5.20724,6.776,0.008,37.95,0.87,Hipparcos,Spectroscopic,1100,5747,2,4.37,0.008,0.049,0.003,1.02,0.01,0.072,0.051,0.071,0.074,0.099,0.082,0.063,0.059,0.054,0.053,0.071,0.06,0.063,0.054,0.048,0.064,0.046,0.063,0.053,0.116,0.096,6.4,6.1,6.7,5.8,7.1,6.5,0.3,1.01,1.003,1.027,0.998,1.038,1.01,0.002,0.408,0.006,0.316,0.011,0.287,0.005,0.144,0.01,0.139,0.012,0.128,0.015,0.169,0.007,0.122,0.008,0.089,0.008,0.09,0.006,0.081,0.003,0.099,0.009
HIP64673,198.83547,-55.34159,8.336,0.01,13.85,0.52,Gaia,no,700,5912,5,4.29,0.014,-0.017,0.004,1.2,0.01,0.055,0.006,0.034,0.024,0.013,0.016,0.007,0.001,-0.014,-0.01,0.022,-0.014,-0.005,-0.017,-0.03,-0.017,-0.034,0.009,-0.014,0.015,-0.013,6,5.6,6.4,5.3,6.7,6,0.4,1.07,1.061,1.078,1.052,1.089,1.068,0.006,-0.084,0.005,-0.11,0.009,-0.094,0.018,-0.048,0.008,-0.082,0.006,-0.03,0.019,0.098,0.011,-0.01,0.01,-0.021,0.018,0.092,0.011,-0.051,0.019,0.015,0.028
HIP64713,198.94745,-29.50588,9.196,0.023,12.76,0.31,Gaia,no,500,5788,4,4.435,0.013,-0.043,0.003,1,0.01,-0.062,-0.068,-0.018,-0.06,-0.037,-0.047,-0.042,-0.04,-0.025,-0.035,-0.05,-0.034,-0.042,-0.047,-0.045,-0.038,-0.062,-0.049,-0.058,-0.059,-0.07,5.3,4.7,5.8,4.1,6.3,5.3,0.6,0.99,0.982,1.004,0.974,1.009,0.989,0.005,-0.027,0.005,-0.036,0.008,-0.022,0.009,-0.02,0.007,-0.009,0.02,-0.008,0.013,0.076,0.01,0.022,0.011,-0.017,0.024,0.072,0.013,-0.029,0.009,0,0.05
HIP65708,202.07796,-0.84019,7.426,0.008,23.14,0.42,Gaia,Spectroscopic,500,5746,5,4.22,0.012,-0.063,0.005,1.12,0.01,0.024,-0.036,0.109,-0.054,0.05,0.06,0,0.011,-0.011,0.005,0.027,0.027,0.035,-0.02,-0.066,-0.051,-0.133,-0.031,-0.07,-0.008,0.013,9,8.7,9.3,8.4,9.5,9,0.3,1.01,1.002,1.027,0.994,1.057,1.009,0.004,-0.148,0.007,-0.144,0.009,-0.108,0.013,-0.089,0.008,-0.019,0.006,-0.022,0.016,0.121,0.009,0.04,0.007,0.042,0.01,0.091,0.009,0.071,0.006,0.066,0.012
HIP68468,210.26504,-32.75695,9.366,0.025,10.68,0.71,Gaia,no,600,5845,5,4.33,0.013,0.071,0.004,1.1,0.01,0.022,0.036,0.087,0.099,0.116,0.122,0.092,0.053,0.082,0.103,0.135,0.093,0.108,0.085,0.066,0.084,0.062,0.098,0.083,0.112,0.095,5.5,5.1,5.8,4.8,6.2,5.5,0.3,1.06,1.053,1.07,1.05,1.12,1.064,0.006,0.012,0.006,0.019,0.008,0.031,0.008,0.041,0.005,0.002,0.029,0.062,0.02,0.132,0.013,0.091,0.008,0.071,0.015,0.132,0.016,0.114,0.006,0.096,0.032
HIP69645,213.8124,-42.80465,9.416,0.014,12.17,0.27,Gaia,no,500,5751,3,4.435,0.01,-0.026,0.004,1,0.01,-0.04,-0.019,0.025,-0.006,-0.006,-0.018,-0.017,0.001,-0.026,-0.013,-0.02,-0.021,-0.025,-0.016,-0.023,-0.018,-0.02,-0.014,-0.02,-0.012,-0.007,5.7,4.8,6,4.3,6.3,5.3,0.6,0.99,0.981,1.004,0.972,1.009,0.986,0.005,-0.032,0.005,-0.026,0.007,-0.033,0.012,-0.038,0.01,0.027,0.029,-0.019,0.012,0.183,0.026,0.001,0.007,-0.008,0.01,-0.005,0.011,-0.035,0.009,0.008,0.007
HIP72043,221.04872,18.46212,7.511,0.008,23.81,0.85,Hipparcos,Spectroscopic,900,5845,4,4.34,0.011,-0.026,0.003,1.12,0.01,0.015,-0.026,0.024,-0.012,0.033,0.033,0.007,-0.012,-0.007,0.031,0.029,0.004,0.011,-0.003,-0.034,-0.021,-0.055,0.004,-0.025,0.005,-0.012,6.2,5.9,6.6,5.6,6.9,6.3,0.3,1.03,1.021,1.047,1.012,1.058,1.026,0.005,-0.123,0.005,-0.126,0.009,-0.106,0.009,-0.054,0.009,-0.086,0.023,-0.038,0.017,0.032,0.015,-0.038,0.01,-0.027,0.013,0.027,0.008,-0.003,0.005,-0.007,0.013
HIP73241,224.53667,-48.86295,6.344,0.008,41.88,0.73,Gaia,Spectroscopic,600,5661,5,4.215,0.014,0.092,0.005,1,0.01,0.143,0.086,0.144,0.088,0.207,0.203,0.121,0.171,0.142,0.138,0.142,0.161,0.14,0.139,0.115,0.104,0.071,0.109,0.095,0.153,0.181,8.9,8.6,9.2,8.4,9.4,8.9,0.3,1.03,1.022,1.039,1.012,1.072,1.031,0.007,0.028,0.007,0.004,0.012,0.008,0.02,0.061,0.01,0.05,0.028,0.076,0.015,0.242,0.01,0.089,0.01,0.107,0.013,0.192,0.009,0.125,0.007,0.122,0.007
HIP73815,226.3052,6.28991,8.194,0.013,19.12,1.11,Hipparcos,no,600,5790,3,4.325,0.008,0.023,0.003,1.07,0.01,0.034,0.038,0.063,0.006,0.054,0.052,0.029,0.046,0.024,0.027,0.048,0.029,0.041,0.022,0.021,0.03,0.008,0.022,0.018,0.045,0.048,7.2,6.9,7.5,6.6,7.7,7.2,0.3,1.01,1.003,1.017,1,1.07,1.011,0.003,-0.078,0.004,-0.08,0.008,-0.057,0.005,-0.022,0.008,-0.045,0.052,0.009,0.015,0.08,0.008,0.025,0.005,0.026,0.013,0.08,0.009,0.023,0.004,0.033,0.007
HIP74389,228.04314,-30.88629,7.736,0.01,24.21,0.27,Gaia,no,1000,5845,3,4.44,0.011,0.083,0.003,1.05,0.01,-0.011,0.01,0.041,0.042,0.076,0.054,0.068,0.052,0.093,0.077,0.064,0.086,0.073,0.074,0.089,0.082,0.064,0.06,0.066,0.042,0.032,3.9,3.3,4.2,2.7,4.5,3.7,0.5,1.05,1.042,1.067,1.035,1.078,1.049,0.003,0.138,0.005,0.12,0.008,0.132,0.01,0.134,0.005,0.097,0.008,0.138,0.015,0.175,0.007,0.147,0.008,0.119,0.016,0.147,0.009,0.133,0.005,0.103,0.018
HIP74432,228.18117,19.28604,6.644,0.008,30.66,0.29,Gaia,no,1200,5679,5,4.17,0.013,0.048,0.005,1.09,0.01,0.155,0.072,0.178,0.067,0.19,0.224,0.123,0.134,0.104,0.123,0.197,0.159,0.168,0.13,0.05,0.047,0.003,0.112,0.073,0.142,0.169,8.6,8.3,8.9,8.1,9.1,8.6,0.3,1.06,1.052,1.074,1.042,1.079,1.056,0.005,-0.033,0.007,-0.038,0.01,0.016,0.015,0.022,0.016,0.1,0.01,0.062,0.024,0.186,0.011,0.107,0.014,0.147,0.017,0.176,0.01,0.171,0.006,0.189,0.015
HIP7585,24.42033,12.07838,6.764,0.007,39.6,0.22,Gaia,no,1100,5822,3,4.445,0.008,0.083,0.003,1.01,0.01,0.019,0.032,0.05,0.054,0.076,0.057,0.077,0.058,0.093,0.07,0.082,0.09,0.086,0.077,0.094,0.09,0.08,0.05,0.069,0.059,0.067,3.5,3,3.8,2.5,4,3.3,0.4,1.04,1.033,1.048,1.03,1.064,1.043,0.004,0.153,0.005,0.145,0.006,0.14,0.006,0.146,0.007,0.116,0.022,0.136,0.015,0.141,0.008,0.138,0.009,0.098,0.021,0.124,0.015,0.127,0.004,0.109,0.023
HIP76114,233.18189,10.9683,7.217,0.008,32.94,0.28,Gaia,no,1100,5740,3,4.41,0.01,-0.024,0.003,0.97,0.01,-0.003,-0.048,0.01,-0.017,-0.016,-0.005,-0.018,-0.011,-0.018,-0.034,0.002,-0.017,-0.019,-0.021,-0.025,-0.025,-0.017,-0.029,-0.02,-0.004,-0.023,6.6,6.3,6.9,6,7.1,6.6,0.3,0.98,0.973,0.997,0.97,1.008,0.98,0.001,-0.039,0.005,-0.051,0.007,-0.042,0.009,-0.037,0.011,-0.053,0.016,-0.038,0.014,0.014,0.012,-0.032,0.011,-0.046,0.026,0.016,0.019,-0.018,0.005,-0.037,0.027
HIP77052,236.00758,2.51517,5.866,0.004,68.08,0.87,Hipparcos,Visual,1200,5687,3,4.45,0.012,0.051,0.003,0.96,0.01,-0.082,-0.069,0.02,-0.005,0.052,0.04,0.042,-0.008,0.082,0.036,0.037,0.083,0.056,0.066,0.072,0.059,0.041,0.014,0.022,0.003,-0.011,4.5,4.1,5.6,3.4,6.1,4.8,0.7,0.99,0.981,1.004,0.972,1.009,0.985,0.005,0.15,0.005,0.13,0.008,0.142,0.015,0.138,0.006,0.106,0.032,0.149,0.021,0.154,0.009,0.165,0.009,0.111,0.015,0.108,0.007,0.119,0.006,0.117,0.012
HIP77883,238.58245,-8.58038,8.741,0.019,16.4,0.28,Gaia,no,600,5699,3,4.375,0.011,0.017,0.003,0.99,0.01,0.033,0.006,0.08,0.021,0.036,0.046,0.022,0.032,0.025,0.013,0.041,0.042,0.037,0.029,0.023,0.028,0.005,0.021,0.011,0.049,0.038,7.6,7.2,7.9,6.7,8.2,7.5,0.4,0.97,0.963,0.984,0.96,0.989,0.97,0.002,-0.059,0.005,-0.062,0.01,-0.041,0.008,-0.024,0.006,-0.009,0.018,0.007,0.019,0.143,0.013,0.027,0.009,0.028,0.017,0.047,0.014,-0.016,0.005,0.097,0.043
HIP79578,243.54963,-31.66367,6.548,0.007,41.19,0.48,Gaia,Spectroscopic,900,5810,3,4.465,0.01,0.048,0.003,1.02,0.01,0.023,0.026,0.049,0.023,0.038,0.029,0.044,0.044,0.062,0.037,0.036,0.053,0.04,0.052,0.064,0.062,0.043,0.033,0.036,0.022,0.025,2.4,2,3,1.4,3.6,2.6,0.5,1.03,1.023,1.044,1.02,1.049,1.031,0.003,0.102,0.005,0.079,0.008,0.082,0.006,0.101,0.009,0.064,0.009,0.088,0.017,0.127,0.011,0.09,0.006,0.062,0.014,0.112,0.014,0.064,0.005,0.094,0.005
HIP79672,243.90529,-8.36944,8.357,0.014,18.45,0.4,Gaia,no,1700,5816,4,4.38,0.011,-0.037,0.004,1.09,0.01,-0.013,-0.018,0.037,0.021,0.046,0.028,0.041,0.016,0.054,0.018,0.039,0.046,0.048,0.035,0.044,0.05,0.035,0.021,0.032,0.029,0.022,6.2,5.8,6.5,5.3,6.7,6.1,0.4,1,0.993,1.017,0.99,1.052,1,0.001,-0.098,0.005,-0.103,0.007,-0.075,0.006,-0.075,0.007,-0.053,0.01,-0.036,0.018,0.114,0.015,-0.027,0.01,-0.034,0.007,-0.001,0.008,-0.028,0.005,-0.032,0.006
HIP79715,244.02675,-52.81455,5.486,0.004,71.16,0.87,Hipparcos,no,600,5808,3,4.44,0.009,0.041,0.003,1.02,0.01,0.008,-0.012,0.001,-0.007,-0.008,0.005,-0.02,-0.008,-0.033,-0.019,-0.001,-0.025,-0.015,-0.031,-0.046,-0.027,-0.043,-0.012,-0.029,-0.006,-0.026,4.2,3.7,4.5,3.2,4.8,4,0.4,1.02,1.013,1.029,1.01,1.046,1.022,0.004,0.084,0.005,0.084,0.007,0.095,0.006,0.08,0.006,0.077,0.009,0.101,0.011,0.129,0.011,0.124,0.009,0.108,0.016,0.156,0.014,0.128,0.004,0.159,0.005
HIP81746,250.45748,-45.36875,7.024,0.008,35.14,0.54,Gaia,Spectroscopic,400,5715,3,4.37,0.01,-0.091,0.003,0.99,0.01,-0.063,-0.137,-0.025,-0.1,-0.035,-0.018,-0.05,-0.056,-0.051,-0.07,-0.047,-0.033,-0.047,-0.061,-0.094,-0.095,-0.131,-0.064,-0.088,-0.074,-0.096,8.1,7.8,8.4,7.4,8.8,8.1,0.3,0.96,0.953,0.974,0.95,0.979,0.96,0.001,-0.183,0.004,-0.194,0.007,-0.152,0.012,-0.134,0.009,-0.128,0.009,-0.094,0.013,-0.014,0.019,-0.077,0.01,-0.047,0.014,-0.034,0.018,-0.08,0.005,-0.045,0.021
HIP83276,255.29481,-13.56714,7.107,0.004,38.81,2.1,Hipparcos,Spectroscopic,500,5886,6,4.24,0.015,-0.093,0.005,1.23,0.01,-0.046,-0.093,-0.021,-0.135,-0.073,-0.071,-0.077,-0.031,-0.071,-0.092,-0.067,-0.086,-0.064,-0.109,-0.113,-0.087,-0.159,-0.114,-0.125,-0.112,-0.136,7.4,7.1,7.7,6.8,8,7.4,0.3,1.03,1.023,1.039,1.02,1.072,1.033,0.005,-0.228,0.006,-0.235,0.01,-0.181,0.015,-0.138,0.007,-0.12,0.025,-0.08,0.021,-0.013,0.026,-0.071,0.017,-0.074,0.02,-0.034,0.018,-0.055,0.006,-0.027,0.008
HIP85042,260.7137,-2.38818,6.281,0.004,50.61,0.37,Gaia,no,1200,5685,3,4.35,0.01,0.03,0.003,0.97,0.01,-0.006,-0.032,0.055,0.009,0.061,0.085,0.03,0.003,0.049,0.03,0.089,0.061,0.049,0.047,0.031,0.024,0.009,0.032,0.041,0.043,0.021,7.8,7.5,8.1,7.3,8.3,7.8,0.3,0.97,0.963,0.987,0.96,0.998,0.97,0,0.009,0.005,-0.006,0.011,0,0.016,-0.002,0.008,0.002,0.016,0.023,0.017,0.108,0.01,0.054,0.009,0.044,0.008,0.068,0.016,0.067,0.005,0.084,0.023
HIP8507,27.42884,-18.93607,8.902,0.014,16.81,0.25,Gaia,no,600,5717,3,4.46,0.011,-0.099,0.003,0.96,0.01,-0.167,-0.194,-0.081,-0.146,-0.084,-0.09,-0.1,-0.127,-0.065,-0.102,-0.097,-0.056,-0.075,-0.084,-0.093,-0.092,-0.148,-0.116,-0.126,-0.144,-0.146,4.9,4.4,5.3,3.7,5.8,4.8,0.5,0.96,0.953,0.968,0.95,0.978,0.961,0.004,-0.05,0.004,-0.059,0.006,-0.025,0.01,-0.026,0.015,0.023,0.027,0.029,0.017,0.07,0.017,0.044,0.012,-0.009,0.009,-0.019,0.022,-0.042,0.005,0.008,0.021
HIP87769,268.93896,11.80396,8.435,0.01,17.32,0.55,Gaia,Spectroscopic,500,5828,3,4.4,0.01,0.072,0.004,1.03,0.01,0.064,0.052,0.066,0.095,0.083,0.081,0.072,0.096,0.092,0.085,0.079,0.078,0.072,0.088,0.084,0.083,0.08,0.07,0.08,0.067,0.083,5,4,5.4,3.4,5.7,4.6,0.6,1.04,1.032,1.056,1.024,1.067,1.039,0.003,0.109,0.005,0.086,0.01,0.085,0.009,0.07,0.007,0.106,0.044,0.05,0.01,0.167,0.01,0.049,0.008,0.093,0.02,0.114,0.023,0.084,0.005,0.081,0.008
HIP89650,274.43393,-61.70878,8.916,0.017,13.35,0.37,Gaia,no,500,5851,3,4.415,0.011,-0.015,0.003,1.1,0.01,0.029,0.009,0.032,0.017,0.021,0.008,0,0.018,-0.015,0.01,0.012,-0.012,-0.007,-0.003,-0.023,-0.007,-0.02,0.015,-0.007,0.013,0.004,4.3,4,5,3.7,5.5,4.6,0.5,1.03,1.022,1.044,1.013,1.049,1.027,0.005,-0.061,0.004,-0.061,0.011,-0.037,0.013,-0.04,0.007,0.049,0.052,0.003,0.013,0.112,0.011,0.012,0.01,0.019,0.006,0.096,0.008,-0.014,0.005,0.019,0.066
HIP9349,30.02224,-13.54611,7.982,0.008,24.72,0.26,Gaia,no,800,5818,6,4.515,0.011,-0.006,0.005,1.09,0.01,-0.052,-0.039,-0.003,-0.048,-0.04,-0.054,-0.029,-0.023,0.017,-0.005,-0.049,0,-0.024,-0.003,0.01,-0.001,-0.019,-0.044,-0.053,-0.084,-0.064,0.6,0.3,1,0.1,1.7,0.7,0.4,1.04,1.031,1.056,1.021,1.067,1.036,0.006,0.078,0.007,0.057,0.008,0.067,0.01,0.131,0.007,0.066,0.033,0.104,0.014,0.137,0.011,0.104,0.01,0.054,0.034,0.046,0.012,0.03,0.005,0.037,0.03
HIP95962,292.71966,-6.51442,7.265,0.008,29.19,1,Hipparcos,no,1800,5805,3,4.38,0.009,0.029,0.003,1.04,0.01,0.056,0.034,0.031,0.06,0.045,0.05,0.039,0.052,0.038,0.033,0.047,0.035,0.031,0.034,0.025,0.025,0.041,0.039,0.044,0.057,0.036,6,5.7,6.4,5.3,6.7,6,0.3,1.01,1.003,1.024,1,1.029,1.01,0.001,0.011,0.004,0.003,0.006,-0.004,0.007,0.003,0.005,0.003,0.016,0.002,0.007,0.099,0.005,0.004,0.011,0.012,0.006,0.01,0.012,0.031,0.004,0.015,0.019
HIP96160,293.28581,-54.53237,8.685,0.013,17.6,0.22,Gaia,no,500,5798,4,4.48,0.012,-0.036,0.003,1.02,0.01,-0.068,-0.069,-0.013,-0.051,-0.036,-0.051,-0.035,-0.019,-0.012,-0.025,-0.044,-0.017,-0.034,-0.026,-0.026,-0.026,-0.055,-0.045,-0.067,-0.085,-0.064,2.6,2.1,3,1.6,3.4,2.6,0.5,1.01,1.003,1.024,1,1.029,1.012,0.004,0.017,0.005,0.01,0.009,0.03,0.011,0.035,0.005,0.071,0.02,0.059,0.016,0.149,0.016,0.062,0.008,0.01,0.03,0.063,0.009,0.015,0.006,0.038,0.019
